source_store_name,retailer_name,store_branch_name,row_count,query,category_group_code,search_stage,validation_status,match_status,store_status,place_name,category_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url
GS더프레시만덕점,GS더프레시,만덕점,225,GS더프레시 만덕점,MT1,primary_category,valid,matched,open,GS더프레시 만덕점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 북구 만덕동 774-7,부산 북구 덕천로 188,부산,북구,만덕동,129.02482574697117,35.21098216638858,http://place.map.kakao.com/8002348
GS더프레시만수점,GS더프레시,만수점,225,GS더프레시 만수점,MT1,primary_category,valid,matched,open,GS더프레시 만수점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",인천 남동구 만수동 18,인천 남동구 만수로50번길 53,인천,남동구,만수동,126.73650209427282,37.45891824231375,http://place.map.kakao.com/10883774
GS더프레시명일점,GS더프레시,명일점,225,GS더프레시 명일점,MT1,primary_category,valid,matched,open,GS더프레시 명일점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 강동구 명일동 312-99,서울 강동구 양재대로 1630,서울,강동구,명일동,127.14479339446238,37.55106270884897,http://place.map.kakao.com/8564399
GS더프레시명장점,GS더프레시,명장점,225,GS더프레시 명장점,MT1,primary_category,valid,matched,open,GS더프레시 명장점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 동래구 명장동 23-2,부산 동래구 반송로 291,부산,동래구,명장동,129.10185173481952,35.206255880753446,http://place.map.kakao.com/10884583
GS더프레시명지국제점,GS더프레시,명지국제점,225,GS더프레시 명지국제점,MT1,primary_category,valid,matched,open,GS더프레시 명지국제점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 강서구 명지동 3358-1,부산 강서구 명지국제8로 251,부산,강서구,명지동,128.9206670197723,35.09841331733067,http://place.map.kakao.com/27558826
GS더프레시목감레이크점,GS더프레시,목감레이크점,225,GS더프레시 목감레이크점,MT1,primary_category,valid,matched,open,GS더프레시 목감레이크점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 시흥시 산현동 492-1,경기 시흥시 목감전원로 32,경기,시흥시,산현동,126.843220676468,37.3769667214813,http://place.map.kakao.com/225222782
GS더프레시목동13점,GS더프레시,목동13점,225,GS더프레시 목동13점,MT1,primary_category,valid,matched,open,GS더프레시 목동13점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 양천구 신정동 327,서울 양천구 목동동로 100,서울,양천구,신정동,126.86680072989161,37.514051092532,http://place.map.kakao.com/8007362
GS더프레시목동7점,GS더프레시,목동7점,236,GS더프레시 목동7점,MT1,primary_category,valid,matched,open,GS더프레시 목동7점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 양천구 목동 925,서울 양천구 목동로 212,서울,양천구,목동,126.86846755819818,37.52782523115873,http://place.map.kakao.com/10886018
GS더프레시문경점,GS더프레시,문경점,225,GS더프레시 문경점,MT1,primary_category,valid,matched,open,GS더프레시 문경점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경북 문경시 점촌동 272-36,경북 문경시 영신로 12,경북,문경시,점촌동,128.20001201391534,36.59385128689263,http://place.map.kakao.com/11840128
GS더프레시미래점,GS더프레시,미래점,225,GS더프레시 미래점,MT1,primary_category,valid,matched,open,GS더프레시 미래점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 성남시 분당구 서현동 312-3,경기 성남시 분당구 불정로376번길 37,경기,성남시,분당구,127.139445479127,37.3716877015911,http://place.map.kakao.com/8625348
