retailer_name,source_product_id,source_product_name,product_url,canonical_item,subtype,manufacturer_name,quantity,unit
농협몰,0039553517,[쿠비녹스] 스테인레스 2단 계란찜기 (CX-253EG),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039553517,계란,계란,쿠비녹스,,
농협몰,0039554594,밸런스밀 프로틴바 단백질바 말차초코 4입 x2개+피넛버터 4입 x2개+초코 4입 x2개(총 24개),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039554594,버터,버터,밸런스밀,24,개
농협몰,1000373802,[BUTTERFLY] 버터플라이 드라이버(Driver)3000 + 탁구공 2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1000373802,버터,버터,BUTTERFLY,2,개
농협몰,1000900783,속이노란 붉은 햇 홍감자(대) 3kg/5kg/10kg,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1000900783,계란,계란,속이노란,10000,g
농협몰,1012460853,[인정란] 부드러움을 인정한 촉촉한 반숙계란 30구 x 2판,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1012460853,계란,계란,인정란,30,구
농협몰,1014006077,삼손푸드 황토에 직접구운 알카리소금 2kg(김장용),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1014006077,설탕,설탕,삼손푸드,2000,g
농협몰,1014033426,삼손푸드 황토소금으로 만든 오디소금 120g,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1014033426,설탕,설탕,삼손푸드,120,g
농협몰,1023666510,[홈앤하우스] 프리모 3단조절 양념병 라인형 2P,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1023666510,설탕,설탕,홈앤하우스,,
농협몰,1025134367,창평쌀조청 1kg / 조청쌀엿 설탕물엿보다 깊은단맛,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1025134367,설탕,설탕,창평쌀조청,1000,g
농협몰,1025134466,창평쌀조청 5kg / 조청쌀엿 설탕물엿보다 깊은단맛,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1025134466,설탕,설탕,창평쌀조청,5000,g
농협몰,1026280487,[미소드림] 자연방사 유정란으로 만든 구운란 30구 /구운계란,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1026280487,계란,계란,미소드림,30,구
농협몰,1028642979,[온도씨] 하루한알 쫄깃한 구운란 한판 30구 (M),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1028642979,계란,계란,온도씨,30,구
농협몰,1028643055,[온도씨] 하루한알 촉촉한 반숙란 두판 30구+30구 총 60구 (L),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1028643055,계란,계란,온도씨,60,구
농협몰,1028643071,[온도씨] 하루한알 구운란 한판 30구(M)+반숙란 한판 30구(L),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1028643071,계란,계란,온도씨,30,구
농협몰,1028643084,[온도씨] 하루한알 구운란 한판 30구(L)+반숙란 한판 30구(L),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1028643084,계란,계란,온도씨,30,구
농협몰,1028917835,뺑콩플레 100% 통밀빵 1kg ( 샌드위치빵 통밀식빵 치아바타 모닝빵 깜빠뉴 비건빵 저염 무설탕 저칼로리 프로틴 단백질 식빵 ),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1028917835,설탕,설탕,뺑콩플레,1000,g
농협몰,1029612575,[인산죽염] 9회인산자죽염 고체 1kg,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1029612575,설탕,설탕,인산죽염,1000,g
농협몰,1030222785,구운계란 20구+반숙란 20구,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1030222785,계란,계란,구운계란,20,구
농협몰,1030222800,군계란(30알)+반숙란(30알),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1030222800,계란,계란,군계란(30알)+반숙란(30알),,
농협몰,1030299354,와포햇살 통들깨 300g,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=1030299354,설탕,설탕,와포햇살,300,g
